table of content,table of content-href,requirements quests,levels,other,"items required	"
Eadgar's Ruse,https://oldschool.runescape.wiki/w/Eadgar%27s_Ruse,"Druidic Ritual
Troll Stronghold","31 Herblore (boostable)
44 Agility",,"Climbing boots (or 12 coins to buy from Tenzing)
Vodka (sold by Heckel Funch at the Tree Gnome Stronghold bar or at the pub in Pollnivneach)
Pineapple chunks
2 Logs
10 Grain (obtainable on the way to Taverley  south of Doric's house)
5 Raw chicken (chickens on the way at Tenzing's house)
Tinderbox
Pestle and mortar
Ranarr potion (unf)
Recommended:

Ardougne teleports
A Games necklace or Combat bracelet
A Slayer ring for quick access to the Stronghold from the Fremennik Slayer Dungeon
A Dramen staff and partial completion of Fairytale II - Cure a Queen for access to Fairy rings
Food and armour
Energy/stamina potions and weight-reducing clothing
Falador teleports
Prayer potions or Super restores if praying against the trolls
Falador teleports or Teleport to house if your house is located in Taverley"
Tower of Life,https://oldschool.runescape.wiki/w/Tower_of_Life,null,10 Construction,,"A hammer
A saw (or crystal saw)
Beer (must be a regular beer - other beers do not work.)
At least 11 free inventory spaces and four more if not wearing the Builder's outfit (recommended)
Gloves (for pickpocketing 'No fingers' - Graceful gloves  Combat bracelet  Moonclan gloves  Warm gloves  and Metal gloves do not work here!)"
Haunted Mine,https://oldschool.runescape.wiki/w/Haunted_Mine,Priest in Peril,"15 Agility
35 Crafting
40 Prayer","The ability to defeat a level 95 enemy

Recommended:
60+ in a selected combat style (It is possible to do it below 60  for example  with Iban's Blast)","A chisel (can be acquired during the quest)
Equipment to kill a level 95 enemy
Recommended:

A ball of wool (Optional  required to create Salve amulet AFTER quest  NOT needed DURING quest)
1 Super energy potion if low Agility (Stamina potion is HIGHLY recommended)
1-2 Prayer potions
Combat stat boosting potions (depending on your attack style)
Food is strongly recommended for all levels.
A Dramen or Lunar staff (if you cannot reach the starting location through the Shades of Mort'ton minigame teleport or a Mort'ton teleport scroll).
It can be useful to bring either a (additional) Melee weapon with high Strength bonuses  Ranged ammunition with high Ranged Strength bonuses  or high-hitting Magic spells. Take something with a high maximum hit. It doesn't have to be your only weapon  though. (High-hitting special attacks are recommended.)
Ranged is recommended — see the boss section of the guide for more details.
A pickaxe to mine mithril ore after the quest (for the hard Morytania Diary)"
Death Plateau,https://oldschool.runescape.wiki/w/Death_Plateau,null,,,"60 coins
10 bread (can be bought from the Ardougne Baker's Stall in Ardougne Market)
10 cooked trout (can be bought in the Warriors' Guild.) - Ironmen unable to visit the Warriors' Guild will need 20 Fishing.
An iron bar
An Asgarnian ale (can be found on the bar at the pub in Burthorpe)
Recommended:

A games necklace for Burthorpe teleports
Stamina or Energy potions
A Blurberry special or a Premade blurb' sp."
The Ascent of Arceuus,https://oldschool.runescape.wiki/w/The_Ascent_of_Arceuus,"
Client of Kourend",12 Hunter,20% Arceuus favour,"None

Recommended:

Weapons and armour
Dramen staff or Lunar staff for access to fairy rings.
Two Battlefront teleports
A Stamina potion
Xeric's talisman for teleportation to Kourend Castle OR having unlocked and the runes (2254) for the Kourend Castle Teleport spell."
Wanted!,https://oldschool.runescape.wiki/w/Wanted!,"Recruitment Drive
The Lost Tribe
Priest in Peril",,"32 Quest Quest points
The ability to defeat a level 33 Black Knight.","10 000 coins  or:
A law rune
An enchanted gem (bought from a Slayer master)
A lump of molten glass
20 Unnoted rune/pure essence (you'll get them back)
A light source
Combat equipment to kill Black Knights
Recommended

An amulet of glory
Teleportation runes
Falador teleports
Varrock teleports
A transportation method to Canifis (Dramen staff  Kharyrll teleports  Ectophial or fairy rings)"
The Tourist Trap,https://oldschool.runescape.wiki/w/The_Tourist_Trap,null,"10 Fletching
20 Smithing",The ability to defeat a level 47 enemy,"Full Desert clothing (shirt  robe and boots required) (when trading clothes with the slave  you will need a desert robe  shirt and boots to successfully trade for slave clothes). You will lose them.
1-3 Bronze bars (can be lost while experimenting)
A hammer
30-50 feathers
A Shantay pass
Note that all of the items can be bought from Shantay at the Shantay Pass.
Recommended:

2-3 full waterskins
A knife or slash weapon (in case you need to refill water skins by cutting cacti in the desert; they can also be refilled from the bowl of water at the desert camp).
A pickaxe
Stamina or energy potions
100 Coins to bribe the mine cart driver (not needed if you choose the correct dialogue as outlined in the quest description below)."
Troll Romance,https://oldschool.runescape.wiki/w/Troll_Romance,"
Troll Stronghold",28 Agility,The ability to defeat a level 113 troll,"An iron bar
Maple or yew logs
Rope
A cake tin
Swamp tar
Climbing boots (not needed if using Trollheim Teleport  necessary if using Slayer Rings or Fairy Rings)
A bucket of wax (use insect repellent on a beehive followed by a bucket)
Recommended:

Teleportation runes to Trollheim if completed Eadgar's Ruse
A Games necklace
A Slayer ring
A Dramen staff and partial completion of Fairytale II - Cure a Queen for access to Fairy rings
Prayer potions and decent food for the fight with Arrg"
Holy Grail,https://oldschool.runescape.wiki/w/Holy_Grail,Merlin's Crystal,20 Attack,Must be able to defeat a level 120 Black Knight Titan (can be safe-spotted),"Excalibur
Recommended:

A weapon  armour  possibly some food
3 Camelot teleport  Ardougne teleport (must complete Plague City quest to use) and Falador teleport
A charged Amulet of glory/Draynor manor teleport tablet for fast travelling to Entrana and Draynor
A charged combat bracelet to teleport to Ranging Guild after Entrana
A charged skills necklace to teleport to Fishing Guild after Entrana
60 coins (2 times to Brimhaven and back)
Antipoison (if below 41 Combat)"
Troll Stronghold,https://oldschool.runescape.wiki/w/Troll_Stronghold,Death Plateau,15 Agility,"The ability to defeat a level 113 Troll General (can be safespotted)
30+ Thieving and 43+ Prayer are strongly

recommended:
47 Agility is recommended","Climbing boots or 12 coins to buy them
Recommended:

Good food  1-2 Prayer potions  and armour are strongly recommended
Games necklace
A weapon  preferably Ranged or Magic
A few stamina or energy potions"
Tai Bwo Wannai Trio,https://oldschool.runescape.wiki/w/Tai_Bwo_Wannai_Trio,Jungle Potion,"15 Agility
30 Cooking
5 Fishing","The ability to defeat a level 53 enemy

Required:
30 Firemaking Firemaking and 65 Fishing Fishing helps save a couple of minutes if you get unlucky. However  if you burn the Karambwan as an Ironman  you will need 65 fishing to get another.
A Method of Range or Mage attack to acquire a Monkey's corpse.
(Ironman only) 34 Herblore Herblore to create the Agility potion. Otherwise  you'll need to get it elsewhere as a monster drop.","Small fishing net
Pestle and mortar (can be obtained during the quest for 6 gp)
Steel spear or better  black spears or bone spear will not work (You will lose the spear)
Agility potion(4) or 4 total doses
Monkey corpse (obtained during the quest - bring some Ranged or Magic equipment to kill a monkey)
Karamjan rum (can be obtained during the quest  but maybe it's better to buy it before in Musa Point's bar - 30 gp)
Knife (can be obtained during the quest)
2 Logs
Tinderbox (If you wish to avoid running back to the range in Brimhaven)
Banana (can be obtained during the quest)
Jogre bones (can be obtained during the quest)
Seaweed (can be obtained during the quest)
Recommended:

Coins  if you are chartering a ship from Ardougne to Brimhaven
Weight-reducing clothing
Energy potions and/or stamina potions
Food
Antipoison
Amulet of Glory
Brimhaven Teleport
Lunar/Dramen staff for fairy rings"
Devious Minds,https://oldschool.runescape.wiki/w/Devious_Minds,"Wanted!
Troll Stronghold
Doric's Quest
Enter the Abyss","65 Smithing (boostable)
50 Runecraft
50 Fletching",,"A mithril 2h sword
A bow string
A non-degraded large pouch
(You will lose all 3 items!)
Recommended:

Falador teleports
A Dramen/Lunar staff
Lumberyard teleports or a Digsite pendant
An amulet of glory or Paddewwa teleports"
Recruitment Drive,https://oldschool.runescape.wiki/w/Recruitment_Drive,"Black Knights' Fortress
Druidic Ritual",,"12 Quest Quest points
The ability to defeat a level 20 monster without any items at all
Changing your character to a Female (3000 Coins at the  Make-over mage Southwest of Falador.)",3 000 coins if you are a male character (You will be fully reimbursed only if you were a male at the start of the quest.)
Rune Mysteries,https://oldschool.runescape.wiki/w/Rune_Mysteries,null,,,None
The Knight's Sword,https://oldschool.runescape.wiki/w/The_Knight%27s_Sword,null,10 Mining ,"The ability to run from level 57 ice warriors and level 53 ice giants could help.
Optional:
15 Smithing
15 Mining
10 Cooking","A redberry pie
A pickaxe (one spawns in south Falador)
2 Iron bars (4 if you want your own blurite sword) (one spawns west of the Graveyard of Shadows in the Wilderness)
A blurite ore (2 if you want your own blurite sword; it can be obtained during the quest(3 if doing Falador easy diary))
Optional:

Varrock and 4 Falador teleports"
Recipe for Disaster/Freeing the Mountain Dwarf,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_the_Mountain_Dwarf,Fishing Contest,,The ability to defeat a level 13 icefiend if you don't have the ice gloves.,"About 320 coins (or 120 if you have the activated ring of charos)
A bucket of milk (can be bought from the Culinaromancer's chest)
Pot of flour (can be bought from the Culinaromancer's chest)
An egg (can be bought from the Culinaromancer's chest)
A bowl of water (can be bought from the Culinaromancer's chest)
4 Asgarnian ales (2 more recommended in case Rohak sobers up—can be bought during the quest at the Rising Sun Inn in Falador)
Gloves (Ice gloves are the best  but other gloves will work fine too)
Recommended:

2 Falador teleports (1 if you have Ice gloves)
2 teleports to White Wolf Mountain: Taverley teleport tablets (with 10 Construction)  Camelot teleports  Games necklace  or take Al-Kharid glider."
Merlin's Crystal,https://oldschool.runescape.wiki/w/Merlin%27s_Crystal,null,,"The ability to defeat a level 39 enemy.
Attack level 20 to wield Excalibur. (Optional  can use from inventory)","Bread
A tinderbox
A bucket of wax (obtainable during the quest  a bucket spawns near the beekeeper)
Insect repellent (obtainable during the quest)(Not needed to complete quest)
Bat bones (obtainable during the quest)
A black candle (obtained during the quest)
Recommended:

A Varrock Teleport
A Camelot Teleport
A Games necklace
A charged Amulet of glory or the Explorer's ring 2 to teleport to Draynor Village."
Making Friends with My Arm,https://oldschool.runescape.wiki/w/Making_Friends_with_My_Arm,"My Arm's Big Adventure
Swan Song
Cold War
Romeo & Juliet","66 Firemaking
72 Mining
35 Construction
68 Agility",It is beneficial to have a higher Agility level.,"Bucket (obtainable during quest)
Rope (obtainable during quest)
Pickaxe (obtainable during quest)
Hammer (obtainable during quest)
Saw
Bolt of cloth
5 mahogany planks
Cadava berry
Combat equipment (preferably Melee or Ranged)
Recommended:

A teleport to Draynor Village
Access to fairy rings
Stamina potions
Trollheim teleports
A Varrock teleport"
Monkey Madness II,https://oldschool.runescape.wiki/w/Monkey_Madness_II,"Enlightened Journey
The Eyes of Glouphrie
Recipe for Disaster/Freeing King Awowogei
Troll Stronghold
Watchtower","69 Slayer
70 Crafting
60 Hunter
55 Agility
55 Thieving",It is beneficial to have a high Combat and Agility level.,"A lemon
Grapes
A pestle and mortar
A pickaxe (if you choose the tanking route)
Logs
A light source
A hammer (obtainable on island)
A chisel (obtainable on island)
An m'speak amulet
A monkey talisman
A ninja monkey greegree (small or medium)
Food (monkfish or better)
A slash weapon (to slash webs if you choose the tanking route (Wilderness sword of any tier recommended for this due to 100% web slash ability) )
Recommended:

Magic logs (for flying back to Gnome Stronghold)
Stamina potions
Prayer potions
Antidote+ or Serpentine helm
A good weapon
Weight-reducing clothing such as Graceful outfit
Armour with high Melee/Ranged Defence
A one-click emergency teleport"
Making History,https://oldschool.runescape.wiki/w/Making_History,Priest in Peril,,,"Spade
Sapphire amulet (strung)
Ghostspeak amulet or Morytania legs 2 or higher
If the player has not completed Ghosts Ahoy  they will need:

2 ecto-token or
1 bone  1 pot and 1 bucket to earn 5 ecto-tokens (you still only need two) or
4 100 gold for a Charter ship to Port Phasmatys (cheaper depending upon where you travel from and if you use ring of charos)
Recommended:

Teleport runes for Ardougne Teleport or Ardougne teleport tablets
Ectophial
Ring of dueling
Enchanted lyre
Necklace of passage (to teleport to Jorral instead of walking from Ardougne)
or access to:

Fairy rings (or Teleport to House if player's house is in Rellekka) 
Stamina or Energy potions"
Murder Mystery,https://oldschool.runescape.wiki/w/Murder_Mystery,null,,,"Pot of flour or a Pot  which can be filled with flour during the quest.
Recommended:

16 free inventory spaces"
Priest in Peril,https://oldschool.runescape.wiki/w/Priest_in_Peril,null,,The ability to defeat a combat level 30 enemy without Magic.,"50 unnoted rune essence or pure essence (can be mined during quest  after completing Rune Mysteries)
A bucket (spawns above the castle's kitchen in the northeasternmost room (go to the kitchen  and climb up the stairs)
Recommended:

Runecrafting pouch(es) - optional  but helps carry more essence.
Food (recommended for low levels)
3 Varrock teleports (for quickness)
Stamina potions or (super) energy potions"
Sheep Shearer,https://oldschool.runescape.wiki/w/Sheep_Shearer,null,,,20 balls of wool in unnoted form or shears (can be obtained during the quest)
Recipe for Disaster/Freeing King Awowogei,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_King_Awowogei,Monkey Madness I,"70 Cooking (boostable)
48 Agility (not boostable)","The ability to defeat a level 84 Big Snake
43 prayer highly recommended","Note: The bank on Ape Atoll cannot be used until after completion of Monkey Madness II.

An M'speak amulet
A gorilla greegree (can be obtained during quest)
A ninja monkey greegree (can be obtained during quest)
A zombie monkey greegree (can be obtained during quest)
A banana (can be picked in Monkey Child's garden)
Some monkey nuts or 13 coins to buy them at the food stall
Rope
A knife
A pestle and mortar"
Watchtower,https://oldschool.runescape.wiki/w/Watchtower,null,"15 Magic
15 Thieving
25 Agility
14 Herblore
40 Mining",The ability to defeat a level 68 ogre,"20 Coins
A gold bar
A tinderbox
A pickaxe
Dragon bones
2 ropes (the 2nd rope can be obtained during the quest)
A guam leaf
A light source (can be obtained during the quest)
A vial of water (can be obtained during the quest)
A pestle and mortar (can be obtained during the quest)
A death rune (can be obtained during the quest)
Bat bones (can be obtained during the quest  a knife or slash weapon is needed)
Jangerberries (can be obtained during the quest)
Recommended:

A single-click teleport for low levelled players  for the blue dragon encounter
Good food (lobster  swordfish or better) and armour
An anti-dragon/dragonfire shield or antifire potions to greatly reduce the damage taken from the blue dragons in the Ogre Enclave (using both completely eliminates the damage taken from the blue dragons' dragonfire attack—Protect from Magic may also be used)
A ring of dueling
A Mith grapple to grapple over Yanille's south wall agility shortcut to speed up the quest (requires 39 Agility Agility  21 Ranged Ranged and 38 Strength Strength)"
Royal Trouble,https://oldschool.runescape.wiki/w/Royal_Trouble,Throne of Miscellania,"40 Agility
40 Slayer",,"5 coal (obtainable during the quest  but you must bring your own pickaxe (which is also obtainable during the quest))
An antipoison potion is strongly recommended for the final fight
Weapons  food and armour for the final fight
2 Ropes (obtainable during the quest)
Recommended:

Prayer potions
Stamina potions  as you'll be running back and forth between the two Kingdoms of Miscellania
10 empty inventory spaces before the fight"
Olaf's Quest,https://oldschool.runescape.wiki/w/Olaf%27s_Quest,The Fremennik Trials,"40 Firemaking
50 Woodcutting","The ability to defeat a level 100 monster
High level Agility Agility is an advantage (57 Agility)","Any woodcutting axe
A tinderbox
A spade
10 free inventory slots
Recommended:

Combat equipment (bringing just runes minimises weight)
Prayer potions
Food
Summer pies or agility potions
A Dramen/Lunar staff for access to the fairy rings (to get to the starting point quickly).
A House teleport if your house is in Rellekka or an Enchanted lyre to teleport to Rellekka (instead of using a fairy ring and/or to get to Olaf's family more quickly if you are below 57 Agility)
Climbing boots
Stamina potion (multiple to keep running back into the cave)"
What Lies Below,https://oldschool.runescape.wiki/w/What_Lies_Below,Rune Mysteries,"35 Runecraft
42 Mining",Be able to defeat a level 47 enemy.,"A bowl
Bronze pickaxe (Bronze metal is specifically required. Obtained during the quest. If you have access to the Abyss  you do not need one)
15 chaos runes
A chaos talisman or tiara (if you have access to the Abyss  you do not need one)"
Romeo & Juliet,https://oldschool.runescape.wiki/w/Romeo_%26_Juliet,null,,,"Cadava berries
Recommended:

Several teleports to Varrock"
Tears of Guthix,https://oldschool.runescape.wiki/w/Tears_of_Guthix,null,"49 Firemaking
20 Crafting
20 Mining",43 Quest points,"Required:

Lit Sapphire lantern (use a cut sapphire on a bullseye lantern or 49 Crafting Crafting and Smithing Smithing if you need to create your own bullseye lantern) (A bullseye lantern can also be obtained by pickpocketing cave goblins if you have completed Death to the Dorgeshuun or purchased from Miltog in Dorgesh-Kaan)
Chisel
Tinderbox
Pickaxe
Rope (if you have not yet entered the Lumbridge Swamp Caves)
Recommended:

Spiny helmet/Slayer helmet to prevent damage from wall beasts  if you have not progressed far enough through The Lost Tribe to access the caves from the Lumbridge Castle cellar."
The Feud,https://oldschool.runescape.wiki/w/The_Feud,null,30 Thieving,The ability to kill a level 70 bandit and a level 75 Menaphite,"A Kharidian headpiece (can be bought from Ali Morrisane's stall just north of Al Kharid for one coin.)
A fake beard (can be bought from Ali Morrisane's stall just north of Al Kharid or the Pollnivneach general store.)
A Shantay pass (costs 5 coins)
About 700 coins (more for carpet rides or less if you walk in desert)
A bucket (One can be found in the tent south of Ali Morrisane's location  and there is also one at the exact place in the quest you need it - bring extra buckets if you plan on doing My Arm's Big Adventure. Ugthanki dung is needed for this quest)
3 beers (can buy from Ali the Barman for 2 coins each)
Gloves (not all work  but leather gloves do  as well as many others. Recipe for Disaster gloves  ice gloves and Slayer gloves do NOT work!)
A spade for picking up the dung.
Red hot sauce (obtained during quest  if you have completed Forgettable Tale of a Drunken Dwarf and still have one in your bank Ali the Kebab seller will not give you another).
Note: The general store in Pollnivneach sells most of the items needed.
Recommended:

Food
Prayer potions
A ring of charos (a) saves money on carpet rides.
Desert clothing to reduce the amount of water needed. (Not needed if carpet ride is taken)
A few full waterskins to combat desert thirst. Three will be more than enough. You do not need waterskins if you take carpet rides instead of running through the desert.
A Pollnivneach teleport saves some time on travelling through the desert.
A ring of dueling to reach Ali Morrisane easily.
Stamina potions"
Tale of the Righteous,https://oldschool.runescape.wiki/w/Tale_of_the_Righteous,Client of Kourend,"16 Strength
10 Mining",20% Shayzien favour,"A pickaxe
A melee weapon
A ranged weapon with ammunition
Runes to cast any magic combat spell
Rope
Recommended:

Stamina potion and weight-reducing clothing
Any kind of antipoison or Shayzien armour (tier 5) as you will encounter various types of poison dealing Lizardman  including the final boss.
Xeric's talisman (with ""Xeric's Honour"" unlocked)
Food for low level players without a shortcut to the top of Mount Quidamortem
Ability to use Lovakengj Mine cart system to travel to Mount Quidamortem"
Enlightened Journey,https://oldschool.runescape.wiki/w/Enlightened_Journey,null,"20 Firemaking
30 Farming
36 Crafting",20 Quest Quest points,"NOTE: For Ironmen  a Willow seed is not required  nor is a basket of apples as payment (although planting one beforehand is faster); players receive a Willow sapling and a basket of apples to pay to protect the tree from Auguste during the quest.

Secateurs (if planting the tree) (can also be exchanged from a Tool Leprechaun if placed there before)
A rake (if planting the tree) (can also be exchanged from a Tool Leprechaun if placed there before)
A spade (if planting the tree) (can also be exchanged from a Tool Leprechaun if placed there before)
3 papyrus
A ball of wool
A sack of potatoes (10 potatoes)
An unlit candle (Black candle will also work)
Yellow dye
Red dye
10 silk
A bowl
8 empty sacks - You will change these into 8 sandbags on Entrana itself.
12 willow branches (Buy from the Grand Exchange otherwise  plant the tree and wait 5 hours.)
A tinderbox
At least 10 normal logs (Cannot be noted)
Recommended:

A charged amulet of glory to teleport to Draynor Village  which is close to Port Sarim"
Recipe for Disaster/Freeing Skrach Uglogwee,https://oldschool.runescape.wiki/w/Recipe_for_Disaster/Freeing_Skrach_Uglogwee,Big Chompy Bird Hunting,"41 Cooking
20 Firemaking",,"Any axe
Any pickaxe
A few raw chompies (More is better  but if you don't burn it  you'll only need one.)
An iron spit (made on an anvil with an iron bar)
Logs
A tinderbox
Ogre bellows
A ball of wool
An ogre bow or Comp ogre bow with ogre arrows
Note: If you have lost your ogre bow  you will need to purchase another one from Rantz (bring about 600 coins).
Recommended:

A Dramen or Lunar staff recommended if you have access to fairy rings.
Antipoison (if low levelled)"
Heroes' Quest,https://oldschool.runescape.wiki/w/Heroes%27_Quest,"Shield of Arrav
Lost City
Merlin's Crystal
Dragon Slayer
Druidic Ritual","53 Cooking
53 Fishing
25 Herblore
50 Mining","A partner
55 Quest Quest points

Recommended:
Stamina potion","A fishing rod (obtainable during the quest)
Fishing bait (obtainable during the quest)
The Dusty key (obtainable during the quest; if travelling to Taverley Dungeon for the lava eel  without 70 Agility)
A knife or a slash weapon (if travelling to the Lava Maze for the lava eel)
A harralander potion (unf) (or a harralander and a vial of water)
A pickaxe
Ice gloves (obtainable during the quest)
If you are a Black Arm Gang member:

Black full helm
Black platebody
Black platelegs
Note: If you are returning to the mansion after the quest to help another player  you do not need the black armour any more.
If you are a Phoenix Gang member:

Some form of Ranged or Magic attack method
Recommended:

Weapons and armour to kill the Ice Queen
Energy/stamina potions/Strange fruit
The anti-dragon shield or a dragonfire shield to protect against the blue dragons' dragonfire breath
Antifire potion to protect against dragonfire breath
Games Necklace to teleport to burthorpe"
A Soul's Bane,https://oldschool.runescape.wiki/w/A_Soul%27s_Bane,null,,The ability to defeat level 45+ enemies.,"Rope
Some form of a weapon
Recommended:

Food
Digsite Pendant
(multiple) Antidote++/Antipoison
Armour
Ranged or Magic method of attacking
A fast attack speed weapon  such as bronze darts"
Animal Magnetism,https://oldschool.runescape.wiki/w/Animal_Magnetism,"The Restless Ghost
Ernest the Chicken
Priest in Peril","18 Slayer
19 Crafting
30 Ranged
35 Woodcutting
31 Prayer",,"Mithril axe (required to obtain the blessed axe  no other type of axe will do)
5 iron bars
Ghostspeak amulet
20 Ecto-tokens (bring 4 bones  4 empty buckets  and 4 empty pots if you want to get the tokens during the quest)
Hammer
Hard Leather
Holy symbol
Polished buttons
Recommended:

Amulet of glory or Draynor manor teleport tablets (to teleport to Draynor Village/Manor)
Games necklace (to teleport to Burthorpe) or use the Burthorpe Games Room teleport in the Minigame Group Finder
Ectophial (if you have done Ghosts Ahoy)
1300 coins (to charter from Port Sarim to Port Phasmatys)
Varrock teleport (if you have not entered Morytania before)
Skills necklace to teleport to the Crafting Guild or teleport to house tablets if your house is in Rimmington"
Witch's Potion,https://oldschool.runescape.wiki/w/Witch%27s_Potion,null,,The ability to defeat a level 1 rat.,"All items are obtainable during the quest.

A piece of burnt meat
An eye of newt (can be bought from Betty in Port Sarim for 3 coins)
An onion (can be obtained from vegetable field north of Rimmington)
A rat's tail (obtained during quest)"
Misthalin Mystery,https://oldschool.runescape.wiki/w/Misthalin_Mystery,null,,,"Bucket (obtainable during quest)
Tinderbox (obtainable during quest)
Knife (obtainable during quest)"
Big Chompy Bird Hunting,https://oldschool.runescape.wiki/w/Big_Chompy_Bird_Hunting,null,"5 Fletching
30 Cooking
30 Ranged",The ability to defend against level 64 wolves and level 53 ogres,"Any axe that you can use
Feathers (100 to be safe)
A knife
A chisel
4 wolf bones (can be obtained from level 64 wolves during the quest or from level 14 wolves in the Stronghold of Security)
A cabbage (can be obtained during the quest  Draynor cabbage will not work)
A tomato (can be obtained during the quest)
An onion (can be obtained during the quest)
A potato (can be obtained during the quest)
Equa leaves (can be obtained during the quest)
Doogle leaves (can be obtained during the quest)
Recommended:

Armour and weapons
A ring of dueling
(Super) energy/Stamina potions
Feldip hills teleport(s)"
The Restless Ghost,https://oldschool.runescape.wiki/w/The_Restless_Ghost,null,,Capable of killing or running away from a combat level 13 skeleton.,None
Recipe for Disaster,https://oldschool.runescape.wiki/w/Recipe_for_Disaster,"Recipe for Disaster/Another Cook's Quest
Recipe for Disaster/Freeing Evil Dave
Recipe for Disaster/Freeing Sir Amik Varze
Recipe for Disaster/Freeing Skrach Uglogwee
Recipe for Disaster/Freeing King Awowogei
Recipe for Disaster/Freeing the Mountain Dwarf
Recipe for Disaster/Defeating the Culinaromancer
Recipe for Disaster/Freeing Pirate Pete
Recipe for Disaster/Freeing the Goblin generals
Recipe for Disaster/Freeing the Lumbridge Guide",,,"An eye of newt
A greenman's ale
4 asgarnian ale (6 recommended)
A rotten tomato
Any fruit blast (not a premade fr' blast)
Ashes
About 320 coins (or 120 if you have the activated Ring of charos)
3 buckets of milk
2 pots of flour
2 eggs
A bowl of water
Gloves (Ice gloves are the best  but other gloves will work fine too.)
Charcoal (Buy in Tai Bwo Wannai  or dig it up at the Digsite.)
An orange (Buy in the Gnome Stronghold  or grow using Farming.)
Any dye except red  yellow  or orange
Spices (Buy or steal in Ardougne  or buy from the Culinaromancer's Chest—Gnome spices  which are bought in the Gnome Stronghold  also work.)
Fishing bait
2 bread
A bucket of water
A raw cod
A pestle and mortar
A fishbowl
A needle
3 bronze wire
A cake tin
A cat  kitten  wily cat  or lazy cat (You'll be catching rats  so a wily cat is best  followed by a regular one  then a kitten  and then a lazy cat.)
Numerous bowls of stew - minimum 10 recommended
At least one raw chompy
An iron spit
Regular logs
A tinderbox
Ogre bellows
Any pickaxe
A ball of wool
An ogre bow
Ogre arrows
Cream (can be bought from the Culinaromancer's Chest)
A pot of cornflour (Or a raw sweetcorn)
A pot
Any axe
A machete (as well as the Kharazi Jungle map if you haven't done Legends' Quest)
A dramen staff and branch
An anti-dragon shield or dragonfire shield
A raw chicken
An m'speak amulet
A gorilla greegree
A ninja greegree
A zombie greegree
A banana
Monkey nuts
Rope
A knife
Good combat equipment"
The Corsair Curse,https://oldschool.runescape.wiki/w/The_Corsair_Curse,null,,,"Spade (obtainable during quest)
Tinderbox (obtainable during quest)"
Zogre Flesh Eaters,https://oldschool.runescape.wiki/w/Zogre_Flesh_Eaters,"Big Chompy Bird Hunting
Jungle Potion","4 Smithing
8 Herblore
30 Ranged
30 Fletching
10 Strength","You must be able to defeat a level 111 enemy.

Recommended:
43 Prayer Prayer for protection prayers","5 free inventory spaces are needed to receive items near the start of the quest
Strength potion if your strength is low. Opening the ogre tomb seems to require strength and lowers your level each time you fail.
Vial of water  Rogue's purse and Snake weed if you choose to learn the technique that allows you to mix Relicym's balm. This is not required for completing the quest.
A Sanfew serum would be helpful to prevent disease and restore stats.
Ava's accumulator to conserve arrows  thus needing to make fewer of them
Instead of a Super restore or two (obtained at start of quest)  you can bring (Super) combat/ranged/magic potions and keep the Super restores for another day to save some money. You will become diseased  which loses you random stats and can last a while.
A ring of dueling to teleport to Castle Wars and Clan Wars to restore your stats through the white portal.
A Yanille Teleport
If you're making your own comp ogre bow and Brutal arrows:

Wolf bones
Achey logs (obtainable during quest)
An axe of your Woodcutting level
Bow string
Nails of your Fletching level to create brutal arrows (1 per 1 brutal arrow)
A hammer
A knife (obtained during quest)
Feathers (4 per 1 brutal arrow)"
Desert Treasure,https://oldschool.runescape.wiki/w/Desert_Treasure,"The Dig Site
Temple of Ikov
The Tourist Trap
Troll Stronghold
Priest in Peril
Waterfall Quest","53 Thieving
50 Firemaking
10 Slayer
50 Magic (cannot be boosted)",,"650 Coins (plus various carpet-fees)
12 Magic logs
6 Steel bar
6 Molten glass
Ashes
Charcoal
A blood rune
Bones
A cake (chocolate cake works)
Spiked boots (obtained from Dunstan after completing Death Plateau by bringing him climbing boots and an iron bar)
Climbing boots (A second pair of boots are needed if Eadgar's Ruse isn't completed and/or 61 Magic for the Trollheim Teleport.)
Garlic (obtainable during the quest)
Lockpicks (50 or more may be needed depending on Thieving level) or Hair clips
A silver bar
Spice (gnome spice and coloured spices will not work)
A pestle and mortar
A facemask  Slayer helmet or a Gas mask
A tinderbox
Strongly suggested:

High healing food
An Antidote++(4) or 1-5 Antipoisons (if Ironman)
Super energy potions or Stamina potions
At least 20 lockpicks
Prayer potions
Super restore potions
Ice gloves to wield a weapon against Fareed"
